StartTime,Date,ZocdocProviderID,ZocdocLocationID,New/Est
2018-04-24,10:40:00,198168,51285,New
2018-04-24,11:00:00,198168,51285,New
2018-04-24,11:20:00,198168,51285,New
2018-04-24,12:20:00,198168,51285,New
2018-04-24,12:40:00,198168,51285,New
2018-04-24,13:00:00,198168,51285,New
2018-04-24,13:20:00,198168,51285,New
2018-04-24,13:40:00,198168,51285,New
2018-04-24,14:00:00,198168,51285,New
2018-04-24,14:20:00,198168,51285,New
2018-04-24,14:40:00,198168,51285,New
2018-04-24,15:00:00,198168,51285,New
2018-04-24,15:20:00,198168,51285,New
2018-04-26,08:40:00,198168,51285,New
2018-04-26,09:00:00,198168,51285,New
2018-04-26,09:20:00,198168,51285,New
2018-04-26,09:40:00,198168,51285,New
2018-04-26,10:00:00,198168,51285,New
2018-04-26,10:20:00,198168,51285,New
2018-04-26,10:40:00,198168,51285,New
2018-04-26,11:00:00,198168,51285,New
2018-04-26,11:20:00,198168,51285,New
2018-04-26,12:20:00,198168,51285,New
2018-04-26,13:40:00,198168,51285,New
2018-04-26,14:00:00,198168,51285,New
2018-04-26,14:20:00,198168,51285,New
2018-04-27,08:40:00,198168,51285,New
2018-04-27,09:00:00,198168,51285,New
2018-04-27,09:20:00,198168,51285,New
2018-04-27,09:40:00,198168,51285,New
2018-04-27,10:00:00,198168,51285,New
2018-04-27,10:20:00,198168,51285,New
2018-04-27,10:40:00,198168,51285,New
2018-04-27,11:00:00,198168,51285,New
2018-04-27,11:20:00,198168,51285,New
2018-04-30,12:20:00,198168,51285,New
2018-04-30,12:40:00,198168,51285,New
2018-04-30,13:00:00,198168,51285,New
2018-04-30,13:20:00,198168,51285,New
2018-04-30,13:40:00,198168,51285,New
2018-04-30,14:00:00,198168,51285,New
2018-04-30,14:20:00,198168,51285,New
2018-04-30,14:40:00,198168,51285,New
2018-04-30,15:00:00,198168,51285,New
2018-04-30,15:20:00,198168,51285,New
2018-04-30,15:40:00,198168,51285,New
2018-04-30,16:00:00,198168,51285,New
2018-04-30,16:20:00,198168,51285,New
2018-04-30,17:40:00,198168,51285,New
2018-04-30,18:00:00,198168,51285,New
2018-05-01,08:00:00,198168,51285,New
2018-05-01,08:20:00,198168,51285,New
2018-05-01,08:40:00,198168,51285,New
2018-05-01,09:00:00,198168,51285,New
2018-05-01,09:20:00,198168,51285,New
2018-05-01,09:40:00,198168,51285,New
2018-05-01,10:00:00,198168,51285,New
2018-05-01,11:20:00,198168,51285,New
2018-05-01,12:20:00,198168,51285,New
2018-05-01,12:40:00,198168,51285,New
2018-05-01,13:00:00,198168,51285,New
2018-05-01,13:20:00,198168,51285,New
2018-05-01,13:40:00,198168,51285,New
2018-05-01,14:00:00,198168,51285,New
2018-05-01,14:20:00,198168,51285,New
2018-05-01,14:40:00,198168,51285,New
2018-05-01,15:00:00,198168,51285,New
2018-05-01,15:20:00,198168,51285,New
2018-05-02,08:00:00,198168,51285,New
2018-05-02,08:20:00,198168,51285,New
2018-05-02,08:40:00,198168,51285,New
2018-05-02,09:00:00,198168,51285,New
2018-05-02,10:00:00,198168,51285,New
2018-05-02,10:20:00,198168,51285,New
2018-05-02,10:40:00,198168,51285,New
2018-05-02,11:00:00,198168,51285,New
2018-05-02,11:20:00,198168,51285,New
2018-05-03,08:00:00,198168,51285,New
2018-05-03,08:20:00,198168,51285,New
2018-05-03,09:20:00,198168,51285,New
2018-05-03,09:40:00,198168,51285,New
2018-05-03,10:00:00,198168,51285,New
2018-05-03,10:20:00,198168,51285,New
2018-05-03,10:40:00,198168,51285,New
2018-05-03,12:20:00,198168,51285,New
2018-05-03,12:40:00,198168,51285,New
2018-05-03,13:00:00,198168,51285,New
2018-05-03,13:20:00,198168,51285,New
2018-05-03,13:40:00,198168,51285,New
2018-05-03,14:00:00,198168,51285,New
2018-05-03,14:20:00,198168,51285,New
2018-05-07,10:20:00,198168,51285,New
2018-05-07,10:40:00,198168,51285,New
2018-05-07,11:00:00,198168,51285,New
2018-05-07,11:20:00,198168,51285,New
2018-05-07,12:20:00,198168,51285,New
2018-05-07,12:40:00,198168,51285,New
2018-05-07,13:00:00,198168,51285,New
2018-05-07,13:20:00,198168,51285,New
2018-05-07,13:40:00,198168,51285,New
2018-05-07,14:00:00,198168,51285,New
2018-05-07,14:20:00,198168,51285,New
2018-05-07,14:40:00,198168,51285,New
2018-05-07,15:00:00,198168,51285,New
2018-05-07,15:20:00,198168,51285,New
2018-05-07,15:40:00,198168,51285,New
2018-05-07,16:00:00,198168,51285,New
2018-05-07,16:20:00,198168,51285,New
2018-05-07,16:40:00,198168,51285,New
2018-05-07,17:00:00,198168,51285,New
2018-05-07,17:20:00,198168,51285,New
2018-05-07,17:40:00,198168,51285,New
2018-05-07,18:00:00,198168,51285,New
2018-05-08,09:00:00,198168,51285,New
2018-05-08,09:20:00,198168,51285,New
2018-05-08,11:20:00,198168,51285,New
2018-05-08,12:20:00,198168,51285,New
2018-05-08,12:40:00,198168,51285,New
2018-05-08,13:00:00,198168,51285,New
2018-05-08,13:20:00,198168,51285,New
2018-05-08,13:40:00,198168,51285,New
2018-05-08,14:00:00,198168,51285,New
2018-05-08,14:20:00,198168,51285,New
2018-05-08,14:40:00,198168,51285,New
2018-05-08,15:00:00,198168,51285,New
2018-05-08,15:20:00,198168,51285,New
2018-05-09,08:20:00,198168,51285,New
2018-05-09,08:40:00,198168,51285,New
2018-05-09,09:00:00,198168,51285,New
2018-05-09,09:20:00,198168,51285,New
2018-05-09,09:40:00,198168,51285,New
2018-05-09,10:00:00,198168,51285,New
2018-05-09,10:20:00,198168,51285,New
2018-05-09,10:40:00,198168,51285,New
2018-05-09,11:00:00,198168,51285,New
2018-05-09,11:20:00,198168,51285,New
2018-05-10,07:40:00,198168,51285,New
2018-05-10,08:00:00,198168,51285,New
2018-05-10,08:20:00,198168,51285,New
2018-05-10,08:40:00,198168,51285,New
2018-05-10,09:00:00,198168,51285,New
2018-05-10,10:00:00,198168,51285,New
2018-05-10,10:20:00,198168,51285,New
2018-05-10,10:40:00,198168,51285,New
2018-05-10,11:00:00,198168,51285,New
2018-05-10,11:20:00,198168,51285,New
2018-05-10,12:20:00,198168,51285,New
2018-05-10,12:40:00,198168,51285,New
2018-05-10,13:00:00,198168,51285,New
2018-05-10,13:20:00,198168,51285,New
2018-05-10,13:40:00,198168,51285,New
2018-05-10,14:00:00,198168,51285,New
2018-05-10,14:20:00,198168,51285,New
2018-05-14,10:20:00,198168,51285,New
2018-05-14,10:40:00,198168,51285,New
2018-05-14,11:00:00,198168,51285,New
2018-05-14,11:20:00,198168,51285,New
2018-05-14,12:20:00,198168,51285,New
2018-05-14,12:40:00,198168,51285,New
2018-05-14,13:00:00,198168,51285,New
2018-05-14,13:20:00,198168,51285,New
2018-05-14,13:40:00,198168,51285,New
2018-05-14,14:00:00,198168,51285,New
2018-05-14,14:20:00,198168,51285,New
2018-05-14,14:40:00,198168,51285,New
2018-05-14,15:00:00,198168,51285,New
2018-05-14,15:20:00,198168,51285,New
2018-05-14,15:40:00,198168,51285,New
2018-05-14,16:00:00,198168,51285,New
2018-05-14,16:20:00,198168,51285,New
2018-05-14,16:40:00,198168,51285,New
2018-05-14,17:00:00,198168,51285,New
2018-05-14,17:20:00,198168,51285,New
2018-05-14,17:40:00,198168,51285,New
2018-05-14,18:00:00,198168,51285,New
2018-05-15,09:00:00,198168,51285,New
2018-05-15,09:20:00,198168,51285,New
2018-05-15,09:40:00,198168,51285,New
2018-05-15,10:00:00,198168,51285,New
2018-05-15,10:20:00,198168,51285,New
2018-05-15,10:40:00,198168,51285,New
2018-05-15,12:20:00,198168,51285,New
2018-05-15,12:40:00,198168,51285,New
2018-05-15,13:00:00,198168,51285,New
2018-05-15,13:20:00,198168,51285,New
2018-05-15,13:40:00,198168,51285,New
2018-05-15,14:00:00,198168,51285,New
2018-05-15,14:20:00,198168,51285,New
2018-05-15,14:40:00,198168,51285,New
2018-05-15,15:00:00,198168,51285,New
2018-05-15,15:20:00,198168,51285,New
2018-05-16,08:00:00,198168,51285,New
2018-05-16,08:20:00,198168,51285,New
2018-05-16,08:40:00,198168,51285,New
2018-05-16,09:00:00,198168,51285,New
2018-05-16,09:20:00,198168,51285,New
2018-05-16,09:40:00,198168,51285,New
2018-05-16,10:00:00,198168,51285,New
2018-05-16,10:20:00,198168,51285,New
2018-05-16,11:20:00,198168,51285,New
2018-05-17,07:40:00,198168,51285,New
2018-05-17,08:00:00,198168,51285,New
2018-05-17,08:20:00,198168,51285,New
2018-05-17,08:40:00,198168,51285,New
2018-05-17,09:00:00,198168,51285,New
2018-05-17,09:20:00,198168,51285,New
2018-05-17,10:20:00,198168,51285,New
2018-05-17,10:40:00,198168,51285,New
2018-05-17,11:00:00,198168,51285,New
2018-05-17,11:20:00,198168,51285,New
2018-05-17,12:20:00,198168,51285,New
2018-05-17,13:20:00,198168,51285,New
2018-05-17,13:40:00,198168,51285,New
2018-05-17,14:00:00,198168,51285,New
2018-05-17,14:20:00,198168,51285,New
2018-05-21,10:00:00,198168,51285,New
2018-05-21,11:00:00,198168,51285,New
2018-05-21,11:20:00,198168,51285,New
2018-05-21,12:20:00,198168,51285,New
2018-05-21,12:40:00,198168,51285,New
2018-05-21,13:00:00,198168,51285,New
2018-05-21,13:20:00,198168,51285,New
2018-05-21,13:40:00,198168,51285,New
2018-05-21,14:00:00,198168,51285,New
2018-05-21,14:20:00,198168,51285,New
2018-05-21,16:20:00,198168,51285,New
2018-05-21,16:40:00,198168,51285,New
2018-05-21,17:00:00,198168,51285,New
2018-05-21,17:20:00,198168,51285,New
2018-05-21,17:40:00,198168,51285,New
2018-05-21,18:00:00,198168,51285,New
